epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91372,4.01899,5.34794,4.27803,0,0,0,0,5.77847,5.23134,4.15904,0,0,0
2,3.00433,3.73363,5.61828,4.1728,0,0,0,0,5.80194,5.26787,4.15917,2.08783e-06,2.08783e-06,2.08783e-06
3,4.15539,3.59028,5.9132,4.25478,0,0,0,0,5.80176,5.26793,4.15929,4.0913e-06,4.0913e-06,4.0913e-06
4,5.25455,5.37295,6.21023,4.18276,0,0,0,0,5.80159,5.26808,4.15943,6.01043e-06,6.01043e-06,6.01043e-06
5,6.25332,4.55583,5.58605,4.47626,0,0,0,0,5.8014,5.26813,4.15958,7.84522e-06,7.84522e-06,7.84522e-06
6,7.31042,4.02891,5.49346,4.41116,0,0,0,0,5.80118,5.26805,4.15975,9.59565e-06,9.59565e-06,9.59565e-06
7,8.46943,4.17373,5.70148,4.23486,0,0,0,0,5.801,5.26814,4.1599,1.12617e-05,1.12617e-05,1.12617e-05
8,9.52797,4.54585,5.76229,4.21888,0,0,0,0,5.80078,5.26815,4.16004,1.28435e-05,1.28435e-05,1.28435e-05
9,10.7437,5.01678,5.79188,4.34973,0,0,0,0,5.80057,5.26812,4.16017,1.43409e-05,1.43409e-05,1.43409e-05
10,11.7761,5.28053,5.84039,4.23592,0,0,0,0,5.80034,5.26816,4.16032,1.57539e-05,1.57539e-05,1.57539e-05
11,12.8146,5.42551,5.8892,4.20231,0,0,0,0,5.80005,5.26815,4.16044,1.70826e-05,1.70826e-05,1.70826e-05
12,13.8951,5.6285,5.78901,4.38255,0,0,0,0,5.79974,5.26808,4.16053,1.83269e-05,1.83269e-05,1.83269e-05
13,15.0449,4.59968,6.23853,4.30544,0,0,0,0,5.79943,5.26793,4.16059,1.94869e-05,1.94869e-05,1.94869e-05
14,16.101,3.76008,5.70686,4.23981,0,0,0,0,5.79907,5.26789,4.16069,2.05626e-05,2.05626e-05,2.05626e-05
15,17.1431,5.03157,5.57001,4.29974,0,0,0,0,5.79866,5.26764,4.16073,2.15539e-05,2.15539e-05,2.15539e-05
16,18.2434,4.6719,5.55068,4.32323,0,0,0,0,5.7982,5.26742,4.16073,2.24609e-05,2.24609e-05,2.24609e-05
17,19.2697,5.3293,5.86603,4.15492,0,0,0,0,5.79775,5.26715,4.16069,2.32835e-05,2.32835e-05,2.32835e-05
18,20.2924,3.88621,5.71102,4.22638,0,0,0,0,5.79775,5.26715,4.16069,2.40217e-05,2.40217e-05,2.40217e-05
19,21.4955,5.06045,5.71985,4.17131,0,0,0,0,5.79679,5.26664,4.16074,2.46756e-05,2.46756e-05,2.46756e-05
20,23.0264,4.08511,5.58245,4.36026,0,0,0,0,5.79679,5.26664,4.16074,2.52452e-05,2.52452e-05,2.52452e-05
21,24.3443,4.04578,5.39147,4.24579,0,0,0,0,5.79569,5.26635,4.16068,2.57304e-05,2.57304e-05,2.57304e-05
22,25.6627,3.39807,5.30524,4.21794,0,0,0,0,5.79569,5.26635,4.16068,2.61313e-05,2.61313e-05,2.61313e-05
23,27.1508,5.07543,5.77401,4.15894,0,0,0,0,5.7946,5.2656,4.16063,2.64478e-05,2.64478e-05,2.64478e-05
24,28.4527,4.22516,5.40107,4.21784,0,0,0,0,5.7946,5.2656,4.16063,2.668e-05,2.668e-05,2.668e-05
25,29.996,4.83157,5.58674,4.24247,0,0,0,0,5.79343,5.26492,4.16052,2.68278e-05,2.68278e-05,2.68278e-05
26,31.3621,4.99907,5.70987,4.39325,0,0,0,0,5.79343,5.26492,4.16052,2.68913e-05,2.68913e-05,2.68913e-05
27,32.7274,4.79834,5.7257,4.54504,0,0,0,0,5.79217,5.26428,4.16036,2.68704e-05,2.68704e-05,2.68704e-05
28,33.9958,4.49456,5.29212,4.16202,0,0,0,0,5.79217,5.26428,4.16036,2.67652e-05,2.67652e-05,2.67652e-05
29,34.9701,5.6059,6.12588,4.51744,0,0,0,0,5.79111,5.26337,4.16031,2.65756e-05,2.65756e-05,2.65756e-05
