epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8305,3.92166,5.09463,2.40588,0.03216,0.08354,0.0258,0.01323,3.48598,5.42146,1.90918,0.1,0,0
2,25.0242,3.90608,5.1347,2.41962,0.03173,0.08525,0.02448,0.01126,3.50707,5.38898,1.92049,0.0990996,9.955e-05,9.955e-05
3,36.8104,4.00113,5.13331,2.54225,0.04161,0.09535,0.02922,0.01338,3.5317,5.37932,1.93554,0.0981982,0.0001982,0.0001982
4,48.3721,3.60078,5.05095,2.32088,0.04258,0.10545,0.03147,0.01475,3.5586,5.38091,1.94473,0.097296,0.00029595,0.00029595
5,59.4923,4.1046,5.06749,2.60876,0.02512,0.09253,0.02597,0.00966,3.50539,5.37908,1.92157,0.0963928,0.0003928,0.0003928
6,69.9223,3.81944,4.91414,2.35638,0.01816,0.10535,0.02075,0.00636,3.47097,5.3438,1.92488,0.0954888,0.00048875,0.00048875
7,80.9785,3.8223,4.93652,2.36058,0.01082,0.03414,0.01471,0.00532,3.53191,5.3131,1.94974,0.0945838,0.0005838,0.0005838
8,90.7892,3.47296,4.79477,2.20109,0.00709,0.03697,0.01447,0.00403,3.58557,5.2798,2.00405,0.093678,0.00067795,0.00067795
9,100.458,3.59474,4.82593,2.24637,0.00789,0.03414,0.01209,0.00369,3.52465,5.29019,2.00057,0.0927712,0.0007712,0.0007712
10,109.656,3.26724,4.65863,1.98344,0.00934,0.03977,0.01542,0.00409,3.49899,5.19675,1.98466,0.0918636,0.00086355,0.00086355
11,119.324,3.30843,4.67443,1.99759,0.00958,0.04704,0.0175,0.00589,3.43541,5.08526,1.94654,0.090955,0.000955,0.000955
12,128.392,3.26179,4.43432,2.06709,0.01453,0.04782,0.02061,0.00628,3.29884,4.93369,1.83209,0.0900456,0.00104555,0.00104555
13,138.168,3.26813,4.38258,1.97755,0.01849,0.04825,0.02037,0.00664,3.3723,4.80104,1.86839,0.0891352,0.0011352,0.0011352
14,149.403,3.1221,4.14821,1.86877,0.02536,0.08111,0.0258,0.00971,3.22479,4.40388,1.72012,0.088224,0.00122395,0.00122395
15,160.937,3.34705,3.97962,1.95366,0.02892,0.13713,0.03516,0.01248,3.31608,4.26629,1.75362,0.0873118,0.0013118,0.0013118
16,171.11,3.13345,3.91917,1.88402,0.02412,0.09419,0.03869,0.01501,3.48935,4.1155,1.83767,0.0863988,0.00139875,0.00139875
17,182.395,3.05006,3.67443,1.80039,0.03213,0.09215,0.03511,0.01448,3.55876,4.06693,1.82084,0.0854848,0.0014848,0.0014848
18,193.841,2.90801,3.57787,1.74546,0.03213,0.09215,0.03511,0.01448,3.55876,4.06693,1.82084,0.08457,0.00156995,0.00156995
19,204.823,3.01814,3.62057,1.82379,0.64323,0.04397,0.03173,0.01569,3.42398,4.61746,1.77903,0.0836542,0.0016542,0.0016542
20,217.749,3.05089,3.38676,1.75812,0.64323,0.04397,0.03173,0.01569,3.42398,4.61746,1.77903,0.0827376,0.00173755,0.00173755
21,228.456,3.08413,3.55539,1.82197,0.03757,0.1414,0.05636,0.02574,2.97031,3.77788,1.61297,0.08182,0.00182,0.00182
22,239.012,2.80667,3.28158,1.65635,0.03757,0.1414,0.05636,0.02574,2.97031,3.77788,1.61297,0.0809016,0.00190155,0.00190155
23,248.676,2.69247,3.27951,1.62388,0.05008,0.11855,0.06613,0.02836,3.11076,3.83742,1.73067,0.0799822,0.0019822,0.0019822
24,259.323,2.96242,3.37963,1.77031,0.05008,0.11855,0.06613,0.02836,3.11076,3.83742,1.73067,0.079062,0.00206195,0.00206195
25,269.895,2.74098,3.26149,1.61354,0.12051,0.11538,0.06776,0.02779,2.85417,5.32402,1.58418,0.0781408,0.0021408,0.0021408
26,280.894,2.8705,3.27144,1.67684,0.12051,0.11538,0.06776,0.02779,2.85417,5.32402,1.58418,0.0772188,0.00221875,0.00221875
27,292.75,2.7726,3.06379,1.63005,0.29442,0.08861,0.04761,0.02076,3.00527,5.57543,1.64374,0.0762958,0.0022958,0.0022958
28,304.349,2.72047,3.02449,1.59905,0.29442,0.08861,0.04761,0.02076,3.00527,5.57543,1.64374,0.075372,0.00237195,0.00237195
29,316.025,2.59931,2.96262,1.6424,0.16564,0.13285,0.05367,0.02316,2.70991,5.53588,1.46031,0.0744472,0.0024472,0.0024472
30,328.281,2.44671,2.71831,1.57324,0.16564,0.13285,0.05367,0.02316,2.70991,5.53588,1.46031,0.0735216,0.00252155,0.00252155
31,346.036,2.48172,2.84682,1.52766,0.2973,0.07294,0.05249,0.02708,2.4486,8.25222,1.39064,0.072595,0.002595,0.002595
32,361.14,2.60664,2.84911,1.53807,0.2973,0.07294,0.05249,0.02708,2.4486,8.25222,1.39064,0.0716675,0.00266755,0.00266755
33,374.635,2.49027,2.80963,1.51457,0.1041,0.20225,0.1004,0.05233,2.53066,9.01145,1.35999,0.0707392,0.0027392,0.0027392
34,388.368,2.71597,2.93922,1.74469,0.1081,0.23172,0.10825,0.05825,2.53066,9.01145,1.35999,0.0698099,0.00280995,0.00280995
35,402.624,2.5138,2.74929,1.52949,0.17831,0.1348,0.08974,0.04433,2.29161,7.93298,1.28909,0.0688798,0.0028798,0.0028798
36,417.894,2.60749,2.6623,1.48954,0.17709,0.16614,0.09573,0.04695,2.29161,7.93298,1.28909,0.0679488,0.00294875,0.00294875
37,430.768,2.29873,2.57818,1.51978,0.49961,0.12048,0.11347,0.06338,2.27231,5.7701,1.31203,0.0670168,0.0030168,0.0030168
38,443.019,2.26238,2.47034,1.50367,0.49961,0.12048,0.11347,0.06338,2.27231,5.7701,1.31203,0.066084,0.00308395,0.00308395
39,456.001,2.38287,2.62316,1.50457,0.33359,0.20269,0.1137,0.0511,2.25972,5.70515,1.33842,0.0651502,0.0031502,0.0031502
40,467.87,2.54727,2.66691,1.42585,0.33359,0.20269,0.1137,0.0511,2.25972,5.70515,1.33842,0.0642156,0.00321555,0.00321555
41,480.694,2.25023,2.34047,1.42258,0.28835,0.16487,0.10776,0.05384,2.40904,6.385,1.32715,0.06328,0.00328,0.00328
42,493.356,2.30964,2.41169,1.44459,0.28545,0.13056,0.09643,0.04945,2.40904,6.385,1.32715,0.0623435,0.00334355,0.00334355
43,507.826,2.28512,2.3989,1.38764,0.25802,0.16619,0.12085,0.06318,2.13785,3.73958,1.27736,0.0614062,0.0034062,0.0034062
44,520.548,2.1551,2.25337,1.37885,0.25802,0.16619,0.12085,0.06318,2.13785,3.73958,1.27736,0.060468,0.00346795,0.00346795
45,532.668,2.25359,2.41501,1.40322,0.32886,0.17062,0.14626,0.08005,2.23913,5.11686,1.2834,0.0595288,0.0035288,0.0035288
46,545.648,2.21603,2.35285,1.39234,0.32886,0.17062,0.14626,0.08005,2.23913,5.11686,1.2834,0.0585888,0.00358875,0.00358875
47,559.002,2.32453,2.43945,1.46337,0.24626,0.0628,0.04901,0.02166,2.92325,11.2472,1.6103,0.0576478,0.0036478,0.0036478
48,571.923,2.32665,2.21838,1.47428,0.24273,0.05124,0.04676,0.01907,2.92325,11.2472,1.6103,0.056706,0.00370595,0.00370595
49,585.802,2.31145,2.31007,1.40491,0.41718,0.12369,0.12553,0.0659,2.32851,5.15196,1.3558,0.0557632,0.0037632,0.0037632
50,600.232,2.08187,2.16863,1.39253,0.41718,0.12369,0.12553,0.0659,2.32851,5.15196,1.3558,0.0548196,0.00381955,0.00381955
51,613.77,2.09546,2.11657,1.40326,0.38661,0.23005,0.15912,0.07795,2.09963,4.63088,1.23877,0.053875,0.003875,0.003875
52,627.434,2.12978,2.04572,1.3852,0.38266,0.2728,0.17464,0.08362,2.09963,4.63088,1.23877,0.0529295,0.00392955,0.00392955
53,642.374,2.21608,2.21748,1.44463,0.38661,0.23005,0.15912,0.07795,2.09963,4.63088,1.23877,0.0519832,0.0039832,0.0039832
54,655.452,2.12849,2.17825,1.39822,0.41561,0.23716,0.18466,0.0942,2.03315,3.53242,1.22223,0.051036,0.00403595,0.00403595
55,669.569,2.12659,2.16596,1.2984,0.41561,0.23716,0.18466,0.0942,2.03315,3.53242,1.22223,0.0500878,0.0040878,0.0040878
56,682.58,2.00846,2.17989,1.30076,0.41561,0.23716,0.18466,0.0942,2.03315,3.53242,1.22223,0.0491388,0.00413875,0.00413875
57,693.978,2.06847,2.15208,1.35481,0.35739,0.24288,0.19023,0.09436,1.93041,2.83603,1.18959,0.0481888,0.0041888,0.0041888
58,705.842,2.24189,2.16883,1.32468,0.35739,0.24288,0.19023,0.09436,1.93041,2.83603,1.18959,0.047238,0.00423795,0.00423795
59,717.614,2.37565,2.28521,1.35652,0.35739,0.24288,0.19023,0.09436,1.93041,2.83603,1.18959,0.0462862,0.0042862,0.0042862
60,730.832,2.24817,2.24908,1.38278,0.45088,0.24257,0.20884,0.11417,2.06837,2.75442,1.20009,0.0453336,0.00433355,0.00433355
61,744.982,2.29658,2.15954,1.3821,0.45088,0.24257,0.20884,0.11417,2.06837,2.75442,1.20009,0.04438,0.00438,0.00438
62,762.141,2.1703,2.11293,1.33153,0.45088,0.24257,0.20884,0.11417,2.06837,2.75442,1.20009,0.0434256,0.00442555,0.00442555
63,775.969,2.16048,2.12614,1.2755,0.40955,0.30498,0.21449,0.10869,2.00024,2.41222,1.18919,0.0424702,0.0044702,0.0044702
64,787.575,2.04361,2.00496,1.34928,0.40955,0.30498,0.21449,0.10869,2.00024,2.41222,1.18919,0.041514,0.00451395,0.00451395
65,801.12,2.1315,1.92302,1.28748,0.40955,0.30498,0.21449,0.10869,2.00024,2.41222,1.18919,0.0405568,0.0045568,0.0045568
66,813.751,2.18282,2.08487,1.35679,0.45722,0.28555,0.22799,0.11277,2.03532,2.19488,1.20905,0.0395988,0.00459875,0.00459875
67,826.573,2.06641,1.94447,1.36122,0.45722,0.28555,0.22799,0.11277,2.03532,2.19488,1.20905,0.0386398,0.0046398,0.0046398
68,839.448,2.09829,2.14706,1.4196,0.45722,0.28555,0.22799,0.11277,2.03532,2.19488,1.20905,0.03768,0.00467995,0.00467995
69,850.88,2.03458,2.02508,1.33191,0.28452,0.23001,0.19602,0.08883,2.16928,2.48843,1.25612,0.0367192,0.0047192,0.0047192
70,862.589,2.38716,2.24183,1.36698,0.28452,0.23001,0.19602,0.08883,2.16928,2.48843,1.25612,0.0357575,0.00475755,0.00475755
71,874.019,2.13938,2.16407,1.33983,0.28452,0.23001,0.19602,0.08883,2.16928,2.48843,1.25612,0.034795,0.004795,0.004795
72,887.036,2.04794,1.98206,1.25578,0.30768,0.23249,0.20488,0.10926,1.96657,2.01648,1.21064,0.0338316,0.00483155,0.00483155
73,898.852,2.1013,2.14594,1.27074,0.30768,0.23249,0.20488,0.10926,1.96657,2.01648,1.21064,0.0328672,0.0048672,0.0048672
74,911.197,1.77586,1.91867,1.27827,0.30768,0.23249,0.20488,0.10926,1.96657,2.01648,1.21064,0.0319019,0.00490195,0.00490195
75,923.876,2.0321,2.13446,1.31854,0.52411,0.19495,0.28244,0.15948,1.98517,1.99099,1.20724,0.0309358,0.0049358,0.0049358
76,936.768,2.14151,1.95556,1.33842,0.52411,0.19495,0.28244,0.15948,1.98517,1.99099,1.20724,0.0299688,0.00496875,0.00496875
77,951.51,2.24393,2.04189,1.40016,0.52411,0.19495,0.28244,0.15948,1.98517,1.99099,1.20724,0.0290008,0.0050008,0.0050008
78,964.312,1.96733,1.98538,1.27255,0.34063,0.26776,0.21843,0.10804,2.06817,2.13128,1.17359,0.0280319,0.00503195,0.00503195
79,976.928,1.96586,2.0198,1.29487,0.34063,0.26776,0.21843,0.10804,2.06817,2.13128,1.17359,0.0270622,0.0050622,0.0050622
80,988.519,2.3228,1.97881,1.29803,0.34063,0.26776,0.21843,0.10804,2.06817,2.13128,1.17359,0.0260916,0.00509155,0.00509155
81,1000.07,1.82275,1.79487,1.22347,0.52421,0.26499,0.24729,0.11822,1.93205,1.88093,1.15447,0.02512,0.00512,0.00512
82,1011.72,2.033,1.92281,1.27161,0.52421,0.26499,0.24729,0.11822,1.93205,1.88093,1.15447,0.0241476,0.00514755,0.00514755
83,1023.78,2.23364,1.98835,1.34202,0.52421,0.26499,0.24729,0.11822,1.93205,1.88093,1.15447,0.0231742,0.0051742,0.0051742
84,1034.51,2.11272,1.82663,1.28147,0.33622,0.32825,0.29817,0.16659,1.97769,1.79738,1.14553,0.0221999,0.00519995,0.00519995
85,1044.75,2.0586,1.78806,1.24685,0.33622,0.32825,0.29817,0.16659,1.97769,1.79738,1.14553,0.0212248,0.0052248,0.0052248
86,1055.42,2.28232,1.89599,1.24886,0.33622,0.32825,0.29817,0.16659,1.97769,1.79738,1.14553,0.0202487,0.00524875,0.00524875
87,1066.26,2.03026,1.81091,1.32639,0.33622,0.32825,0.29817,0.16659,1.97769,1.79738,1.14553,0.0192718,0.0052718,0.0052718
88,1077.28,2.04987,1.93304,1.35204,0.26603,0.36599,0.30409,0.16075,1.95078,1.78078,1.16722,0.0182939,0.00529395,0.00529395
